"","rowname","colname","p_M_all","R_M_all"
"295","Glycerophosphocholine","Pyridoxamine",1.01250499281885e-76,-0.615126050420168
"296","1-Methylnicotinamide","Succinylcarnitine",1.11000337255645e-76,-0.52265253927658
"297","Glyceraldehyde","Pyridoxamine",1.45090520066484e-76,-0.566569236390208
"298","DHAP/D-GA3P","Ribulose 5-Phosphate",2.28575680001005e-76,0.697661673364998
"299","Maleic Acid","Urate",2.60590164662277e-76,0.697405918889295
"300","D-Leucic Acid","Suberic Acid",3.36375003283937e-76,0.619985385458531
"301","2-isoPropylmalic Acid","Taurine",3.86389173417224e-76,0.678991596638656
"302","Choline","Succinylcarnitine",9.78360775253404e-76,-0.483193277310924
"303","Adipic Acid / 3-Methylglutaric Acid","S-Adenosylmethionine (SAM)",1.4153252677979e-75,-0.720825721592985
"304","1/3-Methylhistidine","Succinylcarnitine",1.8195323904853e-75,0.517683595177201
"305","Tryptophan","UDP-GlcNAc",2.24879076041233e-75,0.522762148337596
"306","2-Hydroxyglutarate","Urate",2.93424295614131e-75,-0.599707709170625
"307","2-Hydroxyglutarate","Palmitic Acid",2.96699671767856e-75,-0.567299963463646
"308","D-Leucic Acid","UDP-GlcNAc",3.17052329225311e-75,-0.600986481549141
"309","Cystathionine","UDP-GlcNAc",3.42422694589993e-75,0.564194373401535
"310","Arginine","Ergocalciferol",3.55070372998209e-75,0.605772743880161
"311","Glyceraldehyde","Hydrocinnamic Acid",3.55070372998209e-75,-0.567519181585678
"312","Pyridoxamine","Retinol",3.61062049435079e-75,0.544574351479722
"313","2-Hydroxyglutarate","Hydrocinnamic Acid",4.20852072314235e-75,-0.534015345268542
"314","Citraconic Acid","Glutaric Acid",5.85424032804915e-75,0.666569236390208
"315","S-Adenosylmethionine (SAM)","Suberic Acid",6.12988698847278e-75,-0.71669711362806
"316","Betaine","Cystathionine",8.25324242886244e-75,-0.596492510047497
"317","Azelaic Acid","n-Glycylproline",8.34442757665295e-75,-0.587577639751553
"318","Arginine","Hydrocinnamic Acid",8.65421348052513e-75,0.584435513335769
"319","Homocitrulline","Taurine",9.69229095900023e-75,-0.63127511874315
"320","Maleic Acid","Palmitic Acid",1.35748834462826e-74,0.699926927292656
"321","Betaine","Glucose",1.41091653553948e-74,-0.576178297405919
"322","Glycerol-3-P","Taurine",1.59734043177902e-74,-0.630654000730727
"323","n-Glycylproline","UDP-GlcNAc",2.13425318867103e-74,0.533065400073073
"324","1/3-Methylhistidine","UDP-GlcNAc",2.27395287293161e-74,0.53280964559737
"325","2-Hydroxyglutarate","Glucose",2.27777089604974e-74,0.564559736938254
"326","Azelaic Acid","N-AcetylGlycine",2.28990519455317e-74,0.634344172451589
"327","2-Hydroxyglutarate","Succinylcarnitine",3.06161179434271e-74,0.529119473876507
"328","2-Hydroxyglutarate","Ergocalciferol",3.40424328488393e-74,-0.501936426744611
"329","3HBA","PEP",4.34811107053684e-74,-0.560284983558641
"330","2-isoPropylmalic Acid","Erythrose-4-Phosphate",5.05829595448008e-74,-0.676287906466935
"331","Glyceraldehyde","S-Adenosylmethionine (SAM)",8.10631134296276e-74,0.613372305443917
"332","Biopterin","Citraconic Acid",8.58515234778836e-74,0.618268176835952
"333","Citraconic Acid","Glucose",1.12541842862538e-73,-0.598173182316405
"334","Ergocalciferol","N-AcetylGlycine",1.3053938108364e-73,0.498538545853124
"335","1-Methylnicotinamide","Homocitrulline",1.47635822255248e-73,-0.686993058092802
"336","3HBA","Maleic Acid",1.52710817141063e-73,0.644647424187066
"337","Arginine","PEP",1.53722932414264e-73,-0.632882718304713
"338","Cadaverine","Glycerophosphocholine",2.04496317275994e-73,-0.635294117647059
"339","FAD","Homocitrulline",2.38188576243664e-73,-0.671940080379978
